DEVON HILLS,147.18340478081959,-41.55015293772999
GLENGARRY,146.87154300883793,-41.34403837111018
HAGLEY,146.9093978969768,-41.526183362792061
NEWNHAM,147.11696511048001,-41.388708341845074
PROSPECT,147.14236952427677,-41.48445266479024
ROSEVALE,146.92183860306247,-41.421821890481937
UNDERWOOD,147.21404245797171,-41.31333309154806
DILSTON,147.07658471097861,-41.320416736177357
LISLE,147.32708496424536,-41.234610132092861
NEWSTEAD,147.1626557314124,-41.442692533478983
NORWOOD,147.18059459125305,-41.459424083381194
PUNCHBOWL,147.16465649435483,-41.457579872120597
SELBOURNE,146.87604663487065,-41.433827597363809
BRIDGENORTH,146.96438886164594,-41.382990367192711
WINKLEIGH,146.84569689578674,-41.295391154276864
BURNS CREEK,147.47836906522406,-41.44658030500856
LAUNCESTON,147.1440861228844,-41.433222392484282
NOTLEY HILLS,146.921883246768,-41.35895965310219
NUNAMARA,147.3275108047655,-41.399172038917314
BLACKSTONE HEIGHTS,147.08119229376655,-41.463440833199414
SPRINGFIELD,147.46307112445487,-41.247115462872074
SUMMERHILL,147.11969034732095,-41.466174383337197
TREVALLYN,147.10481276734447,-41.44260437519813
WAVERLEY,147.20783297004206,-41.425438990435211
WHITEMORE,146.91218791395204,-41.587505176473485
INVERMAY,147.13297103869391,-41.421266489846154
LILYDALE,147.23465682298294,-41.246290980602495
LOIRA,146.89680048366645,-41.271307439387577
LONGFORD,147.12282203797659,-41.607138099018101
MAYFIELD,147.13371058850305,-41.387557878543589
MOUNT DIRECTION,147.02710597445216,-41.207419058735852
PERTH,147.20763802106075,-41.608541008564458
QUAMBY BEND,146.86551018884393,-41.480444101535141
SWAN BAY,147.01599871447297,-41.2935346150594
TOIBERRY,147.03627136699271,-41.623040151976269
TRAVELLERS REST,147.09175984455968,-41.496509384154919
WEST LAUNCESTON,147.1263604768574,-41.453625782648693
CLUAN,146.831014102116,-41.609404480404237
CRESSY,147.08740793277988,-41.783697040134946
EXETER,146.93416542919476,-41.304425613456523
LALLA,147.18065903223004,-41.255861429724781
PROSPECT VALE,147.11059218544349,-41.482843284453693
BLACKWALL,146.96646254685942,-41.301686114282056
RAVENSWOOD,147.18232842180956,-41.416104073310983
SOUTH LAUNCESTON,147.1470985125375,-41.455729533079463
ST LEONARDS,147.2404378501169,-41.463555299081712
BRACKNELL,146.92671455170745,-41.653854009795559
SWAN POINT,146.96440301038021,-41.261357468125418
WESTWOOD,146.99609589731622,-41.476429259432408
WINDERMERE,147.01635256047618,-41.310665266913105
YOUNGTOWN,147.17233653684349,-41.48517087987738
DEDDINGTON,147.49319278122687,-41.604753224351938
HADSPEN,147.06027919480746,-41.511253185053604
LIFFEY,146.8149924656768,-41.687494487554687
MYRTLE BANK,147.36265916780789,-41.278307317025359
ROBIGANA,146.94159537974369,-41.265597304510237
ROCHERLEA,147.16649376851447,-41.374088146356975
TURNERS MARSH,147.12135724606978,-41.296763645038205
WESTERN JUNCTION,147.21167163948385,-41.552358227239566
WHITE HILLS,147.3010333766178,-41.506859333893217
EAST LAUNCESTON,147.15009923806423,-41.438979429935372
GRINDELWALD,147.0052405871767,-41.351453102142557
KINGS MEADOWS,147.16129885854394,-41.470544579120812
LANENA,146.96667842612939,-41.316255250361159
NILE,147.39321826398256,-41.683411132008722
OAKS,146.97207409016764,-41.580203431147716
PATERSONIA,147.31045022552013,-41.317038816850584
POWRANNA,147.26974022868208,-41.687917419655307
RELBIA,147.21120411606577,-41.504756589931674
BLESSINGTON,147.43082560771555,-41.492515048195955
RIVERSIDE,147.04830793373247,-41.422964764439953
BREADALBANE,147.17445824474814,-41.517321839946888
WESTBURY,146.82070935162875,-41.510195873815796
CARRICK,147.01714176309113,-41.542820914223618
EVANDALE,147.30619114450801,-41.56952420230774
GRAVELLY BEACH,146.96355261684761,-41.28267125298931
KAROOLA,147.14195493759425,-41.244169801857041
LEGANA,147.04398933953127,-41.372825431324742
MOWBRAY,147.15051556221181,-41.402603154203256
BIRRALEE,146.81081067404992,-41.404635263524092
BISHOPSBOURNE,146.99497791740845,-41.616837432044605
ROSEVEARS,146.98768183361196,-41.335180839087158
TARGA,147.39603722566676,-41.315744089318052
TAYENE,147.52151798265581,-41.350387780670658
