3762,House,23 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4433035201,147.1449795033
3764,House,25 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4434567521,147.1448971249
3766,House,27 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4433939804,147.1446737268
3767,Conjoined Houses,29 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4434482246,147.1445154712
3768,House,30 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4431010724,147.1441757051
3769,Conjoined House,32 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4431372355,147.1440696031
3770,House,33 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4435025889,147.1442612084
3771,House,35 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4435389669,147.1439835619
3772,House,36 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4432436855,147.143895641
3773,House,37 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4437468792,147.1433919342
3775,House,39 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4438462227,147.1431827793
3776,Commercial Retail,41 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4438913645,147.1430990811
3777,Conjoined House,42 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4434861701,147.1429825512
3778,Conjoined House,43 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4439005015,147.1429949529
3779,Conjoined House,44 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4435133004,147.1428959408
3780,Cottage,46 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4435404478,147.142795444
3781,House,48 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4435315828,147.142680503
